from_wps_url,to_clean_url,n_hops,redirect_type,final_status
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/bancas/para-empresas/banca-pyme,https://www.bancodebogota.com/banca-empresas/pyme,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/bancas/para-empresas/banca-social,https://www.bancodebogota.com/banca-empresas/social,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/bancas/para-ti/banca-experiencia,https://www.bancodebogota.com/banca-personas/pensionados,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/bancas/para-ti/banca-infantil,https://www.bancodebogota.com/banca-personas/infantil,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/bancas/para-ti/banca-joven,https://www.bancodebogota.com/banca-personas/joven,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/bancas/para-ti/banca-microempresas,https://www.bancodebogota.com/banca-empresas/microempresas,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/bancas/para-ti/banca-microfinanzas,https://www.bancodebogota.com/empresas,2,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/bancas/para-ti/banca-personas,https://www.bancodebogota.com/banca-personas,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/bancas/para-ti/banca-preferente,https://www.bancodebogota.com/banca-personas/preferente,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/bancas/para-ti/banca-premium,https://www.bancodebogota.com/banca-personas/premium,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/beneficios,https://www.bancodebogota.com/personas/beneficios,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/beneficios/plan-lealtad-mejores-puntos,https://www.bancodebogota.com/personas/beneficios/plan-lealtad-mejores-puntos,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/beneficios/programa-lealtad-tuplus,https://www.bancodebogota.com/personas/beneficios/programa-lealtad-tuplus,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/educacion-financiera,https://www.bancodebogota.com/educacion-financiera,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/educacion-financiera/aprende-sobre-tarjetas-de-credito/articulos-de-interes,https://www.bancodebogota.com/educacion-financiera/tarjeta-de-credito/como-funcionan-las-tarjetas-de-credito,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/educacion-financiera/articulos-educacion-financiera/ahorro-inversion,https://www.bancodebogota.com/educacion-financiera/economia-familiar/que-es-y-como-aumentar-el-patrimonio,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/educacion-financiera/articulos-educacion-financiera/ahorro-inversion/en-la-medida-justa,https://www.bancodebogota.com/educacion-financiera/creditos/beneficios-de-tener-una-buena-vida-crediticia,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/educacion-financiera/articulos-educacion-financiera/ahorro-inversion/invertir-es-ganar,https://www.bancodebogota.com/educacion-financiera/inversion/tipos-de-inversion,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/educacion-financiera/articulos-educacion-financiera/ahorro-inversion/invirtiendo-con-nosotros,https://www.bancodebogota.com/educacion-financiera/inversion/tipos-de-inversion,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/educacion-financiera/articulos-educacion-financiera/credito-endeudamiento/analizando-los-riesgos,https://www.bancodebogota.com/educacion-financiera/creditos/antes-de-pedir-un-credito,1,http_3xx,200
